,Label,Length,Temperature,Weight,Wingspan
0,Yellow Dragon,315.55178336757103,343.4182478534543,7541.756879586044,40.96376876451278
1,Green Dragon,300.3693545994239,347.9104645639722,4282.362974100594,41.533396330613954
2,Orange Dragon,383.3356133157721,344.7833707096956,1616.6660672402809,34.53573095111648
3,Black Dragon,97.05109371919158,133.93295869688035,4381.399182298757,52.29717454580484
4,Yellow Dragon,296.57374675794637,307.24474163256747,7511.259846295051,39.41325930453285
5,Yellow Dragon,321.4126362816488,330.9078028674348,7822.070263565729,34.73457548476943
6,Yellow Dragon,297.31368001442183,338.9950903198627,7442.438161189579,38.6257832776466
7,Red Dragon,296.2278712871542,225.4235420832035,841.4007045388053,43.64891337079391
8,Green Dragon,294.6645987257925,369.857532864506,3940.2104853582337,32.73964746749047
9,Green Dragon,292.32125717082283,348.7214978481348,4260.685448102502,35.923657091366884
10,Red Dragon,324.723902395741,230.35170695500207,1040.3638328043176,51.780479574246655
11,Green Dragon,258.67449053764705,360.6626225749982,5160.184387281421,37.563314856241234
12,Purple Dragon,192.00345267253232,320.3713709579652,6888.358958929869,64.0289963149036
13,Yellow Dragon,278.29166500865847,320.68416814853805,7829.882021452518,42.2818646724395
14,Red Dragon,398.2108503004084,213.58037025302644,2081.3825743693005,56.24315970970754
15,Yellow Dragon,245.85647683605208,347.55602878181423,7962.108975202669,41.43537785218876
16,Green Dragon,270.75290152432177,375.6474681290933,5793.349781020181,34.79197711333569
17,Orange Dragon,417.13022932319313,323.81484351814095,2506.566367764288,26.35858198907073
18,Red Dragon,271.41689249738334,203.17507454506747,1944.2858952616575,60.0160897185671
19,Orange Dragon,397.7540758699074,364.57742932882445,1444.89436281967,51.86700860727619
20,Red Dragon,281.75205674579155,182.98202295625578,1006.7891539658287,53.029630722705804
21,Purple Dragon,186.97096998817997,299.01976732728946,6517.698251527722,43.35278631324288
22,Purple Dragon,231.17873195039715,309.76505566225154,7073.088701918738,40.43357427886673
23,Blue Dragon,99.96665026405958,232.20856648860504,4488.594267099055,44.35791364880801
24,Green Dragon,271.09209770748186,364.77397218262087,4426.02950377593,21.599176995967902
25,Green Dragon,345.82094070722496,393.55604262179077,4232.525466470541,36.81728525702046
26,Black Dragon,96.78028779220867,87.85248415324878,4729.364729005315,57.93521751782508
27,Red Dragon,290.6911668123937,201.69596031127662,2064.3534453498114,44.144640211071845
28,Red Dragon,292.6018824384858,201.2086679763796,1859.6732873255278,49.662349628712604
29,Blue Dragon,171.58343756092833,238.4611998272912,3582.0197304025796,76.59972170457364
30,Black Dragon,157.16535465504478,76.97292637941273,4361.968461640002,48.99404545373062
31,Purple Dragon,236.33612431850975,274.4161806317119,7358.216093933523,44.476180999978446
32,Purple Dragon,190.51853122456635,316.1854608714211,6925.630281059751,58.81593394637068
33,Orange Dragon,342.7599518056292,330.6788393320102,2467.223506688526,33.986213493715546
34,Orange Dragon,325.37080097687283,368.5485478496468,1666.1945763033352,40.21376002313896
35,Blue Dragon,95.67064855459819,242.85207112396435,4415.7501504924785,84.37559107879676
36,Orange Dragon,348.3449233124864,340.17952180513566,1812.5793861051493,45.31885965981414
37,Blue Dragon,176.42800322749466,274.0365914669659,4639.912337957557,50.69455530441552
38,Green Dragon,294.11832985813254,364.1066100051797,4683.658135496304,27.785465143321318
39,Purple Dragon,165.31472532643076,288.591607456426,7198.415848094118,55.277780546414114
40,Black Dragon,64.70932998105923,84.33641121528301,4393.612444446062,53.61344699715623
41,Purple Dragon,194.88725634506176,328.55761766582526,6986.22645676969,49.843987985320325
42,Yellow Dragon,390.13118255158946,359.3026829788704,7179.928075413141,62.19397267901526
43,Red Dragon,295.76834003223104,187.1461954663492,1650.1140314777538,44.85739889907977
44,Orange Dragon,382.18307985819837,316.5944836371757,858.6435810723881,35.710227597255546
45,Blue Dragon,45.76875923769194,239.60326390184213,3243.9841194709725,64.15164946028818
46,Purple Dragon,232.65106711550686,340.3201898582295,8056.561925810656,55.64988052315005
47,Purple Dragon,166.65386198279407,326.7317605866483,7559.925907755573,53.12477966616697
48,Black Dragon,61.42997532550365,100.41471097148806,3512.326254191419,48.70115260630485
49,Blue Dragon,114.201332270473,269.54054448246643,3888.741117581955,68.02239560761129
50,Blue Dragon,171.7625316461033,272.0904483008051,4100.530342926595,56.56990846328464
51,Green Dragon,349.9887164613707,380.6006963292925,5068.989431317513,21.923163971849682
52,Black Dragon,85.27608164625579,83.30047702180167,4449.645273807112,59.34387732810768
53,Purple Dragon,213.11513420240465,338.6941416256051,7558.979216871837,60.32323577913163
54,Blue Dragon,84.63341354362672,277.56493934299056,3607.655585292769,69.47283908591115
55,Purple Dragon,240.17731059099577,348.82472563922823,7731.749739921379,40.06874863440596
56,Purple Dragon,263.3533445364649,305.3616589854543,6881.868244563324,55.91963987706191
57,Yellow Dragon,320.58783063276,321.0628304030628,7858.6516800221025,42.789509610677875
58,Black Dragon,129.63811773034504,92.51895054574061,3389.039162598832,32.56543548145127
59,Yellow Dragon,279.3889830215086,351.1970179239102,9176.577867635066,37.35980443568596
60,Orange Dragon,335.95233786727204,382.38673678365546,2365.880859108206,65.92902465054208
61,Green Dragon,285.1369396761819,378.8458471112964,3812.4540258852817,37.842253195440804
62,Green Dragon,333.52328948591395,364.27273055354095,4723.386126329319,32.87378171687274
63,Orange Dragon,423.4052140394838,366.2200440500578,1911.5418317006797,22.148235411832072
64,Purple Dragon,216.7124557745445,333.4040263135165,6261.849422798297,66.87318660031036
65,Blue Dragon,128.87871025898193,259.1701282338172,3793.703136733854,55.76837543620423
66,Purple Dragon,127.9870859463748,319.32710454330635,6534.199719985675,43.940136255940715
67,Blue Dragon,179.61038243864235,237.5660580815026,3837.8505361709613,85.9322531733857
68,Blue Dragon,117.33152648990844,251.1901107046255,4054.3246348312064,70.37263314405834
69,Green Dragon,291.1000497540408,385.3672202971155,3984.9841885929436,19.144762907666504
70,Black Dragon,149.6538228151638,101.40634182015667,3975.107298881946,54.77031206001124
71,Orange Dragon,384.7423276752298,357.0769739315541,1525.529563724442,47.999820639658
72,Red Dragon,308.0698204621722,220.48642661685264,1446.174238017663,66.33937653209114
73,Red Dragon,289.9402787198404,254.9775447838229,462.12403226180254,48.651775990402825
74,Red Dragon,344.6276241717105,233.88368642520982,1042.8155282142725,41.73940993015495
75,Orange Dragon,370.5116776730642,349.3006685228187,1797.8843415621807,41.860816603758686
76,Green Dragon,337.6122966303287,382.9738154388633,3674.3584800094195,29.834507096319342
77,Purple Dragon,129.17860197904542,338.344459142559,5841.406318910727,48.9751473111854
78,Green Dragon,344.05613300752185,380.1904717281683,5425.964282960604,36.77876586163153
79,Blue Dragon,132.39178036126125,233.74248645308728,4288.728853399405,86.77973685280992
80,Orange Dragon,349.7759752647168,365.93011632116526,1998.857527211559,43.91351507293629
81,Red Dragon,250.42709035786683,224.38386626983458,1408.9735388722386,61.40224720644453
82,Orange Dragon,409.60941814361865,367.624149143583,1444.9987466786276,35.8874025258766
83,Black Dragon,127.7292277830305,68.63045730028358,4271.511312428188,45.585600728244906
84,Black Dragon,142.63566111748838,108.06842819763094,4415.543728803538,51.9569675562593
85,Black Dragon,110.64310308098379,75.53866820709132,4097.164069658863,45.587315188820206
86,Red Dragon,275.6445857074525,188.14451586340343,1722.1676317160588,56.56357025994577
87,Purple Dragon,194.33582218376483,313.19763325598785,6303.7376415449235,42.321743990060305
88,Green Dragon,269.5220684632368,376.85094094429155,4177.356225250122,34.74173753449094
89,Green Dragon,293.7754660241438,365.91811075345987,4267.341972817356,9.256723623150187
90,Purple Dragon,177.1521042867457,288.8934363013569,6780.63202326562,45.00272461181289
91,Yellow Dragon,346.8821535038783,345.77232878152165,7911.4272464156475,37.81907119736611
92,Blue Dragon,60.337539046503764,253.0783933437532,3843.9792587537468,68.18870423622727
93,Blue Dragon,84.92262647835682,259.84315199783225,3837.146874492645,80.13280612508366
94,Red Dragon,336.15067558156284,246.37780645465364,1452.6623336375508,39.14846200276247
95,Green Dragon,316.53412065522843,376.2944305929728,5119.910144398127,21.45985711021273
96,Purple Dragon,153.99132324753145,313.1732605501477,6192.315534394684,66.63792714709066
97,Yellow Dragon,295.16753979656073,339.6959502421219,8155.074920740695,39.672560012209196
98,Blue Dragon,171.84414430443786,260.8565115117988,4007.9664012566877,95.16126587008387
